Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Hyundai Tucson,2024,18.93,16.87,500,Petrol,Individual,Manual,0
Tata Harrier,2014,5.19,21.06,88192,Diesel,Dealer,Manual,0
Ford Aspire,2015,2.13,11.13,123018,Petrol,Dealer,Manual,0
Maruti Vitara Brezza,2024,9.45,9.67,500,Diesel,Dealer,Automatic,1
Mahindra KUV100,2010,0.57,15.1,169644,Petrol,Individual,Automatic,1
Maruti Vitara Brezza,2021,4.36,8.04,39958,Diesel,Individual,Manual,1
Maruti Swift,2024,10.07,8.65,1211,Petrol,Individual,Manual,0
Mahindra Bolero,2014,3.36,18.88,134988,CNG,Dealer,Automatic,0
Volkswagen Ameo,2012,0.85,7.05,147149,Petrol,Dealer,Manual,0
Toyota Etios Cross,2023,11.54,14.29,17061,Petrol,Individual,Automatic,0
Hyundai Creta,2018,4.33,10.44,94775,Diesel,Dealer,Manual,0
Toyota Etios Cross,2011,1.08,11.17,114996,Petrol,Dealer,Manual,0
Maruti Alto,2010,0.27,6.31,181736,Petrol,Dealer,Manual,1
Maruti Baleno,2022,5.87,9.86,25232,Petrol,Dealer,Manual,0
Tata Tigor,2010,0.44,5.53,227561,Diesel,Individual,Automatic,0
Maruti Ciaz,2015,0.71,3.67,160583,Petrol,Dealer,Manual,0
Mahindra XUV300,2017,4.7,14.93,86071,Diesel,Individual,Manual,0
Ford Endeavour,2015,8.31,29.66,92226,Diesel,Dealer,Manual,0
Hyundai Xcent,2023,4.67,5.12,9094,Petrol,Dealer,Automatic,0
Maruti Wagon R,2022,7.47,9.61,30811,Petrol,Dealer,Automatic,0
Tata Safari,2009,0.6,14.6,199145,Petrol,Individual,Manual,0
Maruti Ciaz,2018,2.22,5.21,66951,Diesel,Dealer,Manual,0
Mahindra KUV100,2024,18.88,19.12,500,CNG,Dealer,Automatic,3
Ford Freestyle,2010,1.12,24.78,194087,Petrol,Dealer,Manual,1
Renault Kwid,2020,4.18,7.07,40245,Diesel,Individual,Manual,0
Hyundai Grand i10,2018,6.27,16.69,69786,Diesel,Dealer,Automatic,1
Volkswagen Tiguan,2021,6.46,13.6,31587,CNG,Individual,Manual,1
Toyota Innova,2015,4.34,29.73,141619,Petrol,Individual,Manual,0
Tata Tiago,2004,0.28,14.37,345926,Diesel,Individual,Manual,1
Honda Amaze,2024,8.54,8.07,546,Diesel,Dealer,Manual,0
Tata Bolt,2005,0.99,15.38,170160,Diesel,Dealer,Manual,0
Maruti Baleno,2009,1.32,11.33,133569,Diesel,Dealer,Manual,0
Maruti S-Cross,2009,0.44,7.02,255550,Diesel,Individual,Manual,0
BMW 7 Series,2011,5.92,44.93,100616,Diesel,Dealer,Automatic,1
Skoda Rapid,2019,10.47,25.07,66614,Petrol,Dealer,Manual,0
Hyundai i20,2006,0.75,10.61,227998,Diesel,Dealer,Automatic,0
Toyota Innova Crysta,2009,0.43,15.36,205097,Petrol,Individual,Manual,1
Hyundai Santro,2020,1.7,4.28,40325,Petrol,Individual,Manual,1
Tata Bolt,2022,16.33,21.29,24554,CNG,Dealer,Manual,0
Chevrolet Spark,2023,9.15,10.72,14604,Diesel,Individual,Manual,0
Mahindra XUV300,2016,3.34,14.38,75020,Petrol,Dealer,Automatic,1
Renault Captur,2011,0.63,7.36,127339,Petrol,Individual,Manual,0
Maruti Alto,2013,0.51,3.66,154105,CNG,Dealer,Manual,0
Maruti Celerio,2010,0.21,5.74,187129,Petrol,Individual,Manual,1
Honda Civic,2018,1.45,5.94,55100,Petrol,Individual,Manual,1
Hyundai i20,2021,6.88,12.55,40001,CNG,Dealer,Automatic,0
Maruti Baleno,2007,0.98,7.72,148598,Diesel,Dealer,Automatic,0
Tata Tiago,2017,1.42,4.44,68145,Petrol,Dealer,Automatic,0
Skoda Rapid,2024,17.76,16.37,6431,Petrol,Dealer,Automatic,1
Chevrolet Beat,2023,9.26,10.76,4120,Diesel,Dealer,Manual,0
Maruti Ciaz,2014,0.89,11.36,169146,CNG,Individual,Manual,1
Maruti Ertiga,2012,0.23,4.52,105905,Petrol,Individual,Manual,1
Mahindra XUV500,2021,7.69,13.84,56914,Petrol,Individual,Manual,0
Maruti Baleno,2007,0.17,4.25,202377,Petrol,Dealer,Manual,0
Toyota Fortuner,2013,1.23,8.76,82961,Petrol,Dealer,Manual,0
Tata Safari,2024,18.24,18.16,500,Petrol,Individual,Automatic,1
Honda CR-V,2020,9.8,17.15,36270,Petrol,Dealer,Manual,0
Maruti Ciaz,2023,9.06,11.39,16678,CNG,Dealer,Manual,1
Hyundai Xcent,2021,2.85,4.49,29165,Diesel,Individual,Manual,0
Chevrolet Cruze,2022,9.62,10.86,21029,Diesel,Dealer,Manual,0
Maruti Dzire,2024,4.06,4.02,5518,Diesel,Dealer,Automatic,0
Tata Bolt,2022,11.99,15.51,34992,Diesel,Individual,Manual,1
Tata Nano,2023,17.47,21.26,18122,Petrol,Individual,Manual,1
Hyundai Grand i10,2014,1.15,12.64,132459,CNG,Individual,Manual,1
Mahindra Scorpio,2016,3.88,19.28,80352,Petrol,Dealer,Automatic,1
Tata Tigor,2015,0.87,14.8,141304,Petrol,Individual,Automatic,3
Maruti Swift,2014,1.06,7.65,172472,Diesel,Individual,Manual,0
Maruti Ciaz,2022,4.55,6.04,35515,Diesel,Individual,Manual,0
Chevrolet Sail,2016,1.73,6.29,81419,CNG,Dealer,Automatic,0
Hyundai Xcent,2010,0.67,6.85,111250,Petrol,Dealer,Manual,0
BMW 5 Series,2019,26.72,56.86,46322,Petrol,Dealer,Automatic,0
Ford Freestyle,2019,5.92,15.55,65853,CNG,Dealer,Manual,1
Mercedes-Benz C-Class,2006,1.81,54.03,257892,Petrol,Individual,Automatic,0
Maruti Swift,2018,1.64,4.25,64951,Petrol,Dealer,Manual,0
Mahindra Scorpio,2006,0.7,16.4,247320,CNG,Dealer,Automatic,0
Audi A6,2020,29.34,52.42,60454,Diesel,Individual,Automatic,0
Maruti Alto,2007,0.19,5.6,195886,Petrol,Individual,Manual,3
Volkswagen Ameo,2011,0.86,5.31,107749,Diesel,Dealer,Manual,0
Honda Brio,2013,3.08,14.25,118243,Diesel,Individual,Automatic,0
Tata Bolt,2019,5.8,14.36,54595,Diesel,Individual,Automatic,0
Mahindra XUV500,2010,0.78,17.17,137209,CNG,Dealer,Manual,3
Hyundai Xcent,2019,4.85,13.28,82983,Petrol,Individual,Manual,0
Ford Aspire,2024,17.66,16.07,500,Petrol,Dealer,Manual,0
Hyundai i20,2013,1.01,9.03,171658,Petrol,Individual,Manual,0
Chevrolet Sail,2018,1.15,3.41,83280,CNG,Dealer,Manual,0
Maruti Swift,2018,1.22,3.85,109690,Petrol,Individual,Automatic,0
Honda Brio,2018,4.18,11.85,100725,Petrol,Dealer,Manual,0
Maruti Ciaz,2020,4.23,7.27,69630,Diesel,Dealer,Manual,1
Ford EcoSport,2005,0.95,28.24,222976,Diesel,Individual,Manual,1
Volkswagen Vento,2019,4.51,9.77,55946,Diesel,Individual,Automatic,0
Mahindra Thar,2020,8.9,18.73,35943,Diesel,Individual,Manual,1
Hyundai i10,2016,3.3,13.74,83030,Petrol,Dealer,Manual,0
Tata Tiago,2021,5.35,12.51,40259,Petrol,Individual,Automatic,3
Honda Jazz,2022,16.08,21.26,19945,Diesel,Individual,Manual,0
Hyundai Creta,2007,0.74,17.08,189282,Petrol,Dealer,Manual,0
Toyota Etios Cross,2008,1.35,26.67,149362,Petrol,Individual,Automatic,0
Maruti Ertiga,2022,3.43,5.07,18461,CNG,Dealer,Manual,1
Maruti Vitara Brezza,2022,8.44,11.02,31420,Petrol,Dealer,Manual,0
Hyundai Venue,2014,2.25,14.25,89259,Diesel,Individual,Automatic,1
Hyundai Grand i10,2017,2.93,11.5,104328,Petrol,Dealer,Manual,0
Maruti S-Cross,2024,4.46,4.66,1513,Diesel,Dealer,Manual,1
Ford Freestyle,2008,0.59,6.68,184969,Diesel,Dealer,Manual,0
Maruti Dzire,2007,0.28,8.94,206168,Petrol,Individual,Manual,0
Nissan Sunny,2007,0.39,10.19,226534,CNG,Dealer,Manual,0
Tata Nexon,2014,1.37,21.64,86329,Petrol,Dealer,Manual,3
Hyundai Venue,2008,0.5,7.6,150078,Diesel,Individual,Manual,0
Hyundai Grand i10,2024,12.54,11.75,500,Petrol,Dealer,Manual,1
Nissan Magnite,2016,1.8,9.51,103083,Petrol,Dealer,Manual,1
Maruti S-Cross,2014,0.75,3.69,169662,Petrol,Dealer,Automatic,0
Hyundai i20,2019,6.42,14.71,60915,Petrol,Dealer,Manual,0
Honda CR-V,2024,19.7,22.52,500,Petrol,Individual,Manual,0
Ford Figo,2017,0.82,5.98,69675,CNG,Dealer,Manual,3
Tata Safari,2019,6.71,15.03,75139,Petrol,Dealer,Manual,0
Mahindra KUV100,2017,1.95,8.31,109701,Petrol,Dealer,Automatic,1
Toyota Yaris,2022,18.28,22.67,26713,Diesel,Dealer,Manual,0
Maruti Baleno,2015,1.78,5.76,81499,Diesel,Dealer,Manual,0
Volkswagen Ameo,2015,0.6,10.92,148532,Petrol,Individual,Automatic,3
Honda CR-V,2013,2.9,23.61,122951,Petrol,Individual,Automatic,0
Renault Triber,2018,2.04,4.35,51260,Diesel,Dealer,Manual,0
Maruti Ertiga,2006,0.21,7.82,310562,Petrol,Dealer,Automatic,3
Honda CR-V,2020,7.48,20.29,46853,Petrol,Dealer,Manual,3
Hyundai Grand i10,2004,0.16,7.58,335257,Petrol,Dealer,Automatic,0
Honda Amaze,2019,6.58,16.65,51689,Diesel,Individual,Manual,0
Honda City,2011,0.65,10.48,226951,CNG,Individual,Manual,0
Renault Captur,2024,5.48,5.27,500,Diesel,Dealer,Automatic,1
Toyota Corolla,2013,3.78,21.42,188183,Diesel,Dealer,Manual,0
Hyundai Tucson,2018,3.48,12.26,106848,Petrol,Dealer,Manual,1
Maruti Celerio,2019,5.02,10.4,77523,Diesel,Individual,Manual,0
Tata Tigor,2019,2.26,6.57,70800,Petrol,Individual,Manual,0
Maruti Ciaz,2017,1.72,7.77,73174,Petrol,Dealer,Manual,1
Maruti Ciaz,2003,0.25,8.77,266183,Petrol,Individual,Manual,0
Ford Aspire,2019,7.13,19.89,70492,Diesel,Individual,Manual,1
Tata Nano,2022,10.21,12.89,27293,Petrol,Dealer,Automatic,0
Hyundai i20,2016,3.52,12.91,104129,Diesel,Dealer,Manual,1
Maruti Celerio,2015,0.61,3.72,104050,Petrol,Individual,Manual,0
Chevrolet Spark,2017,1.94,8.22,119773,CNG,Individual,Manual,0
Maruti S-Cross,2010,0.37,8.69,121153,Petrol,Individual,Manual,3
Hyundai Creta,2013,1.44,15.02,118364,CNG,Dealer,Manual,1
Maruti Alto,2023,3.86,4.68,9453,Petrol,Dealer,Manual,1
Ford Freestyle,2007,0.42,15.18,248677,Petrol,Individual,Automatic,0
Honda City,2024,28.08,24.35,2349,Petrol,Dealer,Automatic,0
Nissan Magnite,2023,9.87,11.95,6251,Petrol,Individual,Manual,0
Audi A4,2020,24.04,41.18,61019,Diesel,Dealer,Manual,0
Mahindra KUV100,2023,11.59,14.26,12108,Diesel,Individual,Manual,0
Audi A6,2021,23.5,44.53,43933,Petrol,Dealer,Automatic,0
Hyundai Creta,2017,1.4,6.74,80599,Petrol,Dealer,Manual,1
Maruti Ertiga,2018,2.72,7.3,101967,Diesel,Dealer,Manual,0
Ford Freestyle,2021,14.74,25.42,23232,Petrol,Individual,Automatic,1
Nissan Magnite,2024,11.11,11.35,500,Diesel,Dealer,Automatic,0
Toyota Fortuner,2022,7.78,11.69,35794,Petrol,Individual,Manual,0
Nissan Micra,2022,6.99,9.05,23678,Petrol,Dealer,Automatic,0
Maruti Dzire,2016,3.69,11.2,114158,Diesel,Dealer,Manual,0
Chevrolet Enjoy,2020,2.82,4.52,36984,Diesel,Dealer,Manual,0
Mahindra KUV100,2008,0.78,10.79,257394,Diesel,Dealer,Manual,0
Renault Kwid,2022,6.89,10.1,26545,Diesel,Dealer,Automatic,1
Honda WR-V,2016,1.45,7.58,99656,Petrol,Individual,Manual,0
Skoda Octavia,2021,13.67,23.9,52178,Petrol,Individual,Automatic,0
Maruti Vitara Brezza,2009,0.24,4.08,246958,Petrol,Dealer,Manual,0
Maruti Ertiga,2023,4.53,6.31,13590,Petrol,Individual,Manual,0
Hyundai Grand i10,2019,4.76,13.22,60659,Petrol,Dealer,Manual,1
Hyundai Verna,2017,3.73,12.5,90635,Diesel,Individual,Manual,0
Toyota Yaris,2013,1.27,13.51,190095,Petrol,Individual,Manual,0
Hyundai i10,2024,8.64,8.64,500,Petrol,Dealer,Manual,0
Maruti Ertiga,2006,0.16,4.42,196027,Petrol,Individual,Manual,0
Maruti S-Cross,2022,5.49,8.02,20687,Diesel,Individual,Manual,1
Maruti Ertiga,2016,1.26,6.99,130627,CNG,Individual,Manual,0
Tata Tiago,2020,9.94,18.21,59640,Diesel,Dealer,Manual,0
Tata Tiago,2020,6.35,15.89,73297,Petrol,Individual,Manual,1
Tata Harrier,2021,7.68,13.07,35795,Diesel,Individual,Automatic,1
Hyundai Venue,2009,0.35,11.82,233075,Petrol,Individual,Manual,1
Hyundai Venue,2023,10.13,12.26,15202,Petrol,Dealer,Manual,0
Toyota Innova,2011,1.56,18.2,113859,Petrol,Individual,Manual,0
Hyundai i20,2009,0.82,15.86,130215,Petrol,Individual,Manual,0
Maruti Vitara Brezza,2024,7.62,7.02,500,Petrol,Dealer,Manual,0
Hyundai Creta,2023,8.72,12.44,4040,Diesel,Individual,Manual,3
Toyota Camry,2017,6.78,21.2,109576,Petrol,Dealer,Automatic,0
Toyota Innova Crysta,2013,8.19,34.01,135818,Diesel,Dealer,Manual,0
Honda City,2021,5.98,11.01,30714,Petrol,Individual,Manual,1
Renault Triber,2024,10.88,11.19,1345,Diesel,Dealer,Automatic,0
Hyundai i10,2024,5.67,6.08,500,Petrol,Individual,Manual,1
Maruti Ertiga,2017,1.92,8.65,98470,CNG,Dealer,Automatic,1
Ford Freestyle,2017,8.62,29.9,67315,Petrol,Dealer,Manual,0
Maruti Ciaz,2005,0.28,7.55,214612,Diesel,Individual,Manual,0
Hyundai Xcent,2018,5.94,15.11,47520,CNG,Dealer,Automatic,0
Volkswagen Jetta,2003,0.63,19.06,197622,Diesel,Individual,Automatic,1
Hyundai Verna,2016,0.61,4.92,69936,Petrol,Dealer,Automatic,3
Hyundai Xcent,2009,0.51,15.79,222160,Petrol,Dealer,Manual,1
Honda Brio,2024,13.39,13.1,500,CNG,Dealer,Manual,0
Hyundai Elite i20,2021,4.46,6.63,42766,Diesel,Individual,Manual,1
Honda Civic,2022,15.2,21.08,12261,Diesel,Dealer,Manual,1
Maruti Alto,2021,3.26,5.81,49876,Petrol,Dealer,Manual,1
Ford EcoSport,2015,5.48,28.48,123886,Petrol,Individual,Automatic,0
Renault Triber,2017,1.9,11.19,98410,Petrol,Individual,Manual,1
Tata Tiago,2010,0.84,7.83,217860,Diesel,Dealer,Manual,0
Nissan Kicks,2015,2.97,14.52,102642,Petrol,Dealer,Manual,0
Mahindra Scorpio,2018,4.76,12.07,90103,Diesel,Dealer,Automatic,1
Maruti S-Cross,2010,1.0,9.04,212810,Diesel,Dealer,Manual,0
Hyundai Creta,2020,8.16,15.53,42557,Diesel,Dealer,Manual,1
Maruti Wagon R,2016,1.19,8.01,99618,Diesel,Dealer,Manual,3
Mahindra KUV100,2012,0.87,7.24,138823,Diesel,Individual,Manual,0
Hyundai Elite i20,2022,8.57,11.25,32280,Petrol,Dealer,Manual,0
Honda Civic,2010,2.71,22.99,124605,Diesel,Individual,Manual,0
Nissan Magnite,2018,4.49,11.16,95702,Diesel,Individual,Automatic,0
Chevrolet Enjoy,2019,1.82,4.76,56187,Diesel,Individual,Manual,1
Hyundai Elite i20,2023,11.57,13.91,4438,Petrol,Dealer,Manual,1
Toyota Camry,2024,24.17,23.82,5435,CNG,Individual,Manual,0
Toyota Camry,2006,0.73,30.39,317152,CNG,Individual,Automatic,0
Hyundai Elite i20,2024,5.95,6.47,6806,Petrol,Dealer,Manual,1
Hyundai Grand i10,2024,9.82,9.5,2811,Diesel,Individual,Manual,0
Ford Freestyle,2004,0.47,13.6,226681,CNG,Dealer,Manual,0
Maruti Dzire,2013,1.42,6.92,196873,Diesel,Dealer,Automatic,0
Toyota Innova Crysta,2015,4.66,17.08,100717,Diesel,Individual,Automatic,0
Ford Endeavour,2016,5.8,26.11,127165,CNG,Individual,Automatic,0
Mercedes-Benz S-Class,2023,35.09,44.12,11093,Diesel,Dealer,Automatic,0
Renault Triber,2023,5.28,6.61,5744,Diesel,Individual,Automatic,0
Ford Aspire,2020,7.01,13.79,61805,Petrol,Individual,Manual,0
Mahindra Scorpio,2023,12.07,14.16,12276,Petrol,Dealer,Manual,0
Skoda Octavia,2012,0.7,7.21,137269,Petrol,Individual,Manual,0
Honda CR-V,2016,2.12,11.06,100973,Petrol,Individual,Automatic,0
Tata Harrier,2016,4.12,17.32,103071,Petrol,Dealer,Manual,0
Audi A4,2010,7.41,44.6,132891,Diesel,Dealer,Automatic,0
Maruti S-Cross,2013,0.41,10.36,187510,Petrol,Dealer,Manual,3
Ford EcoSport,2014,2.83,16.8,159497,Petrol,Dealer,Automatic,0
Ford Figo,2017,1.63,10.49,68712,Diesel,Individual,Manual,3
Chevrolet Spark,2024,12.51,11.57,500,CNG,Dealer,Automatic,1
Mahindra XUV500,2022,5.7,9.26,14396,Diesel,Individual,Automatic,3
Toyota Yaris,2016,1.48,11.15,108797,Petrol,Individual,Manual,1
Maruti S-Cross,2020,3.11,6.33,52931,Petrol,Dealer,Automatic,1
Honda Civic,2019,10.11,24.81,64446,Petrol,Individual,Automatic,0
Toyota Innova,2021,10.15,17.97,33881,Petrol,Dealer,Manual,0
Volkswagen Vento,2019,2.51,6.15,77445,Petrol,Individual,Manual,0
Hyundai Grand i10,2021,5.79,9.23,50549,Diesel,Dealer,Manual,0
Maruti Wagon R,2023,4.67,5.22,500,Diesel,Individual,Manual,0
Honda City,2012,1.82,19.51,151593,Diesel,Individual,Manual,1
Renault Kwid,2023,6.56,6.91,21735,Petrol,Dealer,Automatic,0
Hyundai Verna,2012,2.83,13.16,137484,Diesel,Dealer,Automatic,0
Honda Civic,2019,6.39,18.46,81528,Petrol,Individual,Automatic,1
Maruti Celerio,2018,2.44,5.65,57391,CNG,Dealer,Automatic,0
Chevrolet Beat,2023,8.1,11.0,6977,Diesel,Dealer,Manual,0
Volkswagen Jetta,2022,6.27,11.29,23795,Petrol,Individual,Manual,0
Maruti Swift,2022,4.96,6.98,20123,Diesel,Dealer,Manual,0
Renault Kwid,2022,5.18,7.02,31354,Diesel,Dealer,Automatic,0
Maruti Ertiga,2022,3.93,6.12,24963,CNG,Individual,Manual,0
Toyota Corolla,2015,4.45,20.89,97698,Diesel,Individual,Manual,0
Tata Safari,2012,0.39,5.23,156386,Petrol,Dealer,Manual,1
Hyundai Creta,2012,2.39,11.27,129211,Diesel,Dealer,Manual,0
Honda Civic,2023,15.49,18.58,11672,Petrol,Individual,Manual,0
Audi A4,2018,23.68,57.66,91420,Diesel,Dealer,Automatic,1
Chevrolet Enjoy,2017,2.99,9.73,112863,Diesel,Individual,Manual,0
Mahindra XUV500,2017,2.97,10.67,113778,Diesel,Dealer,Manual,1
Hyundai Xcent,2004,0.21,7.93,309389,Petrol,Dealer,Manual,0
Nissan Micra,2015,1.97,12.84,85538,Petrol,Individual,Manual,0
Maruti Baleno,2017,3.01,9.64,101310,Diesel,Individual,Manual,0
Mahindra XUV300,2009,0.68,5.83,178161,Diesel,Dealer,Manual,0
Maruti Wagon R,2020,4.97,9.81,71036,Petrol,Dealer,Automatic,1
Volkswagen Tiguan,2023,11.47,13.12,5585,Diesel,Dealer,Manual,1
Ford Figo,2016,5.54,27.65,97177,Petrol,Dealer,Manual,1
Mahindra Marazzo,2021,5.73,9.49,24661,CNG,Individual,Manual,0
Ford Figo,2020,11.55,25.28,54915,Diesel,Individual,Manual,0
Maruti Vitara Brezza,2006,0.37,10.97,205498,Petrol,Individual,Manual,1
Nissan Micra,2023,5.59,6.74,15050,Diesel,Dealer,Manual,3
Chevrolet Spark,2017,2.33,9.85,114488,Petrol,Dealer,Automatic,1
Maruti Dzire,2012,0.55,3.62,201811,Diesel,Individual,Automatic,0
Volkswagen Jetta,2016,2.16,10.86,83332,Petrol,Individual,Automatic,1
Chevrolet Enjoy,2024,7.6,7.1,3127,Petrol,Dealer,Automatic,3
Ford Endeavour,2024,24.74,25.74,787,Petrol,Individual,Manual,3
Skoda Superb,2013,1.12,10.28,142831,Diesel,Individual,Manual,1
Maruti Baleno,2020,1.63,3.71,70601,Petrol,Dealer,Manual,1
Renault Duster,2019,2.08,5.49,42229,CNG,Individual,Manual,0
Maruti Baleno,2023,10.21,11.0,5488,Diesel,Dealer,Automatic,1
Mahindra Bolero,2012,0.29,8.68,187339,Diesel,Individual,Manual,3
Honda WR-V,2022,13.96,22.05,19331,CNG,Dealer,Manual,0
Hyundai i10,2008,0.41,10.14,127336,Petrol,Individual,Manual,0
Volkswagen Jetta,2012,0.87,6.95,119363,Petrol,Dealer,Manual,0
Hyundai Xcent,2010,0.33,5.16,132119,Petrol,Dealer,Manual,1
Maruti Wagon R,2003,0.18,4.98,313869,Diesel,Dealer,Automatic,0
Maruti S-Cross,2019,3.92,9.17,76083,Diesel,Individual,Manual,0
Toyota Etios Cross,2020,11.86,22.01,33359,Diesel,Individual,Manual,1
Toyota Etios Cross,2012,2.36,33.57,174847,Petrol,Individual,Manual,0
Hyundai Tucson,2010,0.82,15.97,245355,Petrol,Individual,Manual,0
Toyota Yaris,2010,1.85,16.55,227660,Diesel,Dealer,Manual,0
Tata Nexon,2013,0.96,12.88,153294,Petrol,Individual,Automatic,1
Hyundai Verna,2017,2.78,8.92,73121,Petrol,Dealer,Automatic,0
Renault Triber,2003,0.26,9.95,314990,Diesel,Individual,Automatic,0
Tata Tiago,2011,0.23,3.58,224920,Petrol,Dealer,Manual,1
Maruti Baleno,2013,0.78,10.75,109563,CNG,Individual,Automatic,1
Mahindra XUV500,2019,4.18,9.78,79163,Petrol,Dealer,Automatic,0
Hyundai Venue,2019,6.51,17.01,62642,Petrol,Dealer,Manual,1
Hyundai i20,2015,0.88,8.11,93675,Petrol,Individual,Manual,1
Ford Aspire,2021,5.32,11.58,39745,Petrol,Individual,Manual,1
Maruti Swift,2008,0.55,11.93,157272,Petrol,Individual,Automatic,0
Tata Nano,2010,1.6,21.39,208791,Petrol,Dealer,Manual,0
Ford Endeavour,2014,0.73,7.43,108581,CNG,Individual,Manual,1
Hyundai Santro,2014,0.5,8.18,141512,Petrol,Dealer,Automatic,3
Maruti Swift,2009,0.36,9.3,199527,CNG,Dealer,Automatic,1
Maruti Ciaz,2020,5.64,11.42,50314,Diesel,Individual,Manual,1
Maruti Dzire,2017,1.26,4.51,108080,CNG,Dealer,Manual,0
Toyota Etios,2023,23.93,28.79,13062,Diesel,Individual,Manual,0
Maruti S-Cross,2021,4.37,7.39,36924,Petrol,Individual,Manual,0
Honda CR-V,2022,5.58,8.17,23831,Petrol,Individual,Manual,1
Maruti Ertiga,2022,6.28,10.5,19324,Petrol,Dealer,Manual,3
Toyota Innova,2024,15.35,14.7,500,Petrol,Individual,Manual,0
Hyundai Creta,2022,3.11,4.62,34222,Diesel,Individual,Manual,1
Honda Brio,2013,0.72,7.12,89701,Petrol,Dealer,Manual,1
Maruti Baleno,2016,1.33,4.93,123645,Diesel,Individual,Manual,0
Volkswagen Ameo,2008,0.27,9.72,272246,Petrol,Individual,Manual,0
Toyota Innova,2023,15.88,19.78,15930,Petrol,Dealer,Manual,0
Hyundai Tucson,2022,6.54,10.17,19915,Petrol,Dealer,Manual,0
Hyundai Elite i20,2011,1.19,12.72,123325,Petrol,Dealer,Manual,0
Tata Tigor,2021,9.17,16.12,33872,Petrol,Individual,Manual,0
Mahindra Marazzo,2024,7.0,7.3,500,Petrol,Individual,Automatic,0
Hyundai Venue,2021,10.61,17.25,34322,Diesel,Dealer,Manual,1
Maruti Ertiga,2023,5.17,6.69,12518,Petrol,Dealer,Manual,1
Mahindra XUV300,2008,0.31,8.29,185327,Petrol,Individual,Manual,0
Tata Hexa,2015,1.43,10.5,139554,Petrol,Dealer,Manual,1
Hyundai Verna,2016,1.0,5.76,121758,Petrol,Individual,Manual,0
