Brand,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Selling_Price
Volkswagen,13.6,31587,CNG,Individual,Manual,1,5,6.46
Toyota,29.73,141619,Petrol,Individual,Manual,0,11,4.34
Tata,14.37,345926,Diesel,Individual,Manual,1,22,0.28
Honda,8.07,546,Diesel,Dealer,Manual,0,2,8.54
Tata,15.38,170160,Diesel,Dealer,Manual,0,21,0.99
Maruti,11.33,133569,Diesel,Dealer,Manual,0,17,1.32
Maruti,7.02,255550,Diesel,Individual,Manual,0,17,0.44
BMW,44.93,100616,Diesel,Dealer,Automatic,1,15,5.92
Skoda,25.07,66614,Petrol,Dealer,Manual,0,7,10.47
Hyundai,10.61,227998,Diesel,Dealer,Automatic,0,20,0.75
Toyota,15.36,205097,Petrol,Individual,Manual,1,17,0.43
Hyundai,4.28,40325,Petrol,Individual,Manual,1,6,1.7
Tata,21.29,24554,CNG,Dealer,Manual,0,4,16.33
Chevrolet,10.72,14604,Diesel,Individual,Manual,0,3,9.15
Mahindra,14.38,75020,Petrol,Dealer,Automatic,1,10,3.34
Renault,7.36,127339,Petrol,Individual,Manual,0,15,0.63
Maruti,3.66,154105,CNG,Dealer,Manual,0,13,0.51
Maruti,5.74,187129,Petrol,Individual,Manual,1,16,0.21
Honda,5.94,55100,Petrol,Individual,Manual,1,8,1.45
Hyundai,12.55,40001,CNG,Dealer,Automatic,0,5,6.88
Maruti,7.72,148598,Diesel,Dealer,Automatic,0,19,0.98
Tata,4.44,68145,Petrol,Dealer,Automatic,0,9,1.42
Skoda,16.37,6431,Petrol,Dealer,Automatic,1,2,17.76
Chevrolet,10.76,4120,Diesel,Dealer,Manual,0,3,9.26
Maruti,11.36,169146,CNG,Individual,Manual,1,12,0.89
Maruti,4.52,105905,Petrol,Individual,Manual,1,14,0.23
Mahindra,13.84,56914,Petrol,Individual,Manual,0,5,7.69
Maruti,4.25,202377,Petrol,Dealer,Manual,0,19,0.17
Toyota,8.76,82961,Petrol,Dealer,Manual,0,13,1.23
Tata,18.16,500,Petrol,Individual,Automatic,1,2,18.24
Honda,17.15,36270,Petrol,Dealer,Manual,0,6,9.8
Maruti,11.39,16678,CNG,Dealer,Manual,1,3,9.06
Hyundai,4.49,29165,Diesel,Individual,Manual,0,5,2.85
Chevrolet,10.86,21029,Diesel,Dealer,Manual,0,4,9.62
Maruti,4.02,5518,Diesel,Dealer,Automatic,0,2,4.06
Tata,15.51,34992,Diesel,Individual,Manual,1,4,11.99
Tata,21.26,18122,Petrol,Individual,Manual,1,3,17.47
Hyundai,12.64,132459,CNG,Individual,Manual,1,12,1.15
Mahindra,19.28,80352,Petrol,Dealer,Automatic,1,10,3.88
Tata,14.8,141304,Petrol,Individual,Automatic,3,11,0.87
Maruti,7.65,172472,Diesel,Individual,Manual,0,12,1.06
Maruti,6.04,35515,Diesel,Individual,Manual,0,4,4.55
Chevrolet,6.29,81419,CNG,Dealer,Automatic,0,10,1.73
Hyundai,6.85,111250,Petrol,Dealer,Manual,0,16,0.67
BMW,56.86,46322,Petrol,Dealer,Automatic,0,7,26.72
Ford,15.55,65853,CNG,Dealer,Manual,1,7,5.92
Mercedes-Benz,54.03,257892,Petrol,Individual,Automatic,0,20,1.81
Maruti,4.25,64951,Petrol,Dealer,Manual,0,8,1.64
Mahindra,16.4,247320,CNG,Dealer,Automatic,0,20,0.7
Audi,52.42,60454,Diesel,Individual,Automatic,0,6,29.34
Maruti,5.6,195886,Petrol,Individual,Manual,3,19,0.19
Volkswagen,5.31,107749,Diesel,Dealer,Manual,0,15,0.86
Honda,14.25,118243,Diesel,Individual,Automatic,0,13,3.08
Tata,14.36,54595,Diesel,Individual,Automatic,0,7,5.8
Mahindra,17.17,137209,CNG,Dealer,Manual,3,16,0.78
Hyundai,13.28,82983,Petrol,Individual,Manual,0,7,4.85
Ford,16.07,500,Petrol,Dealer,Manual,0,2,17.66
Hyundai,9.03,171658,Petrol,Individual,Manual,0,13,1.01
Chevrolet,3.41,83280,CNG,Dealer,Manual,0,8,1.15
Maruti,3.85,109690,Petrol,Individual,Automatic,0,8,1.22
Honda,11.85,100725,Petrol,Dealer,Manual,0,8,4.18
Maruti,7.27,69630,Diesel,Dealer,Manual,1,6,4.23
Ford,28.24,222976,Diesel,Individual,Manual,1,21,0.95
Volkswagen,9.77,55946,Diesel,Individual,Automatic,0,7,4.51
Mahindra,18.73,35943,Diesel,Individual,Manual,1,6,8.9
Hyundai,13.74,83030,Petrol,Dealer,Manual,0,10,3.3
Tata,12.51,40259,Petrol,Individual,Automatic,3,5,5.35
Honda,21.26,19945,Diesel,Individual,Manual,0,4,16.08
Hyundai,17.08,189282,Petrol,Dealer,Manual,0,19,0.74
Toyota,26.67,149362,Petrol,Individual,Automatic,0,18,1.35
Maruti,5.07,18461,CNG,Dealer,Manual,1,4,3.43
Maruti,11.02,31420,Petrol,Dealer,Manual,0,4,8.44
Hyundai,14.25,89259,Diesel,Individual,Automatic,1,12,2.25
Hyundai,11.5,104328,Petrol,Dealer,Manual,0,9,2.93
Maruti,4.66,1513,Diesel,Dealer,Manual,1,2,4.46
Ford,6.68,184969,Diesel,Dealer,Manual,0,18,0.59
Maruti,8.94,206168,Petrol,Individual,Manual,0,19,0.28
Nissan,10.19,226534,CNG,Dealer,Manual,0,19,0.39
Tata,21.64,86329,Petrol,Dealer,Manual,3,12,1.37
Hyundai,7.6,150078,Diesel,Individual,Manual,0,18,0.5
Hyundai,11.75,500,Petrol,Dealer,Manual,1,2,12.54
Nissan,9.51,103083,Petrol,Dealer,Manual,1,10,1.8
Maruti,3.69,169662,Petrol,Dealer,Automatic,0,12,0.75
Hyundai,14.71,60915,Petrol,Dealer,Manual,0,7,6.42
Honda,22.52,500,Petrol,Individual,Manual,0,2,19.7
Ford,5.98,69675,CNG,Dealer,Manual,3,9,0.82
Tata,15.03,75139,Petrol,Dealer,Manual,0,7,6.71
Mahindra,8.31,109701,Petrol,Dealer,Automatic,1,9,1.95
Toyota,22.67,26713,Diesel,Dealer,Manual,0,4,18.28
Maruti,5.76,81499,Diesel,Dealer,Manual,0,11,1.78
Volkswagen,10.92,148532,Petrol,Individual,Automatic,3,11,0.6
Honda,23.61,122951,Petrol,Individual,Automatic,0,13,2.9
Renault,4.35,51260,Diesel,Dealer,Manual,0,8,2.04
Maruti,7.82,310562,Petrol,Dealer,Automatic,3,20,0.21
Honda,20.29,46853,Petrol,Dealer,Manual,3,6,7.48
Honda,16.65,51689,Diesel,Individual,Manual,0,7,6.58
Honda,10.48,226951,CNG,Individual,Manual,0,15,0.65
Renault,5.27,500,Diesel,Dealer,Automatic,1,2,5.48
Toyota,21.42,188183,Diesel,Dealer,Manual,0,13,3.78
Hyundai,12.26,106848,Petrol,Dealer,Manual,1,8,3.48
Maruti,10.4,77523,Diesel,Individual,Manual,0,7,5.02
Tata,6.57,70800,Petrol,Individual,Manual,0,7,2.26
Maruti,7.77,73174,Petrol,Dealer,Manual,1,9,1.72
Maruti,8.77,266183,Petrol,Individual,Manual,0,23,0.25
Ford,19.89,70492,Diesel,Individual,Manual,1,7,7.13
Tata,12.89,27293,Petrol,Dealer,Automatic,0,4,10.21
Hyundai,12.91,104129,Diesel,Dealer,Manual,1,10,3.52
Maruti,3.72,104050,Petrol,Individual,Manual,0,11,0.61
Chevrolet,8.22,119773,CNG,Individual,Manual,0,9,1.94
Maruti,8.69,121153,Petrol,Individual,Manual,3,16,0.37
Hyundai,15.02,118364,CNG,Dealer,Manual,1,13,1.44
Maruti,4.68,9453,Petrol,Dealer,Manual,1,3,3.86
Ford,15.18,248677,Petrol,Individual,Automatic,0,19,0.42
Honda,24.35,2349,Petrol,Dealer,Automatic,0,2,28.08
Nissan,11.95,6251,Petrol,Individual,Manual,0,3,9.87
Audi,41.18,61019,Diesel,Dealer,Manual,0,6,24.04
Mahindra,14.26,12108,Diesel,Individual,Manual,0,3,11.59
Audi,44.53,43933,Petrol,Dealer,Automatic,0,5,23.5
Hyundai,6.74,80599,Petrol,Dealer,Manual,1,9,1.4
Maruti,7.3,101967,Diesel,Dealer,Manual,0,8,2.72
Ford,25.42,23232,Petrol,Individual,Automatic,1,5,14.74
Nissan,11.35,500,Diesel,Dealer,Automatic,0,2,11.11
Toyota,11.69,35794,Petrol,Individual,Manual,0,4,7.78
Nissan,9.05,23678,Petrol,Dealer,Automatic,0,4,6.99
Maruti,11.2,114158,Diesel,Dealer,Manual,0,10,3.69
Chevrolet,4.52,36984,Diesel,Dealer,Manual,0,6,2.82
Mahindra,10.79,257394,Diesel,Dealer,Manual,0,18,0.78
Renault,10.1,26545,Diesel,Dealer,Automatic,1,4,6.89
Honda,7.58,99656,Petrol,Individual,Manual,0,10,1.45
Skoda,23.9,52178,Petrol,Individual,Automatic,0,5,13.67
Maruti,4.08,246958,Petrol,Dealer,Manual,0,17,0.24
Maruti,6.31,13590,Petrol,Individual,Manual,0,3,4.53
Hyundai,13.22,60659,Petrol,Dealer,Manual,1,7,4.76
Hyundai,12.5,90635,Diesel,Individual,Manual,0,9,3.73
Toyota,13.51,190095,Petrol,Individual,Manual,0,13,1.27
Hyundai,8.64,500,Petrol,Dealer,Manual,0,2,8.64
Maruti,8.02,20687,Diesel,Individual,Manual,1,4,5.49
Maruti,6.99,130627,CNG,Individual,Manual,0,10,1.26
Tata,18.21,59640,Diesel,Dealer,Manual,0,6,9.94
Tata,15.89,73297,Petrol,Individual,Manual,1,6,6.35
Tata,13.07,35795,Diesel,Individual,Automatic,1,5,7.68
Hyundai,11.82,233075,Petrol,Individual,Manual,1,17,0.35
Hyundai,12.26,15202,Petrol,Dealer,Manual,0,3,10.13
Toyota,18.2,113859,Petrol,Individual,Manual,0,15,1.56
Hyundai,15.86,130215,Petrol,Individual,Manual,0,17,0.82
Maruti,7.02,500,Petrol,Dealer,Manual,0,2,7.62
Hyundai,12.44,4040,Diesel,Individual,Manual,3,3,8.72
Toyota,21.2,109576,Petrol,Dealer,Automatic,0,9,6.78
Toyota,34.01,135818,Diesel,Dealer,Manual,0,13,8.19
Honda,11.01,30714,Petrol,Individual,Manual,1,5,5.98
Renault,11.19,1345,Diesel,Dealer,Automatic,0,2,10.88
Hyundai,6.08,500,Petrol,Individual,Manual,1,2,5.67
Maruti,8.65,98470,CNG,Dealer,Automatic,1,9,1.92
Ford,29.9,67315,Petrol,Dealer,Manual,0,9,8.62
Maruti,7.55,214612,Diesel,Individual,Manual,0,21,0.28
Hyundai,15.11,47520,CNG,Dealer,Automatic,0,8,5.94
Volkswagen,19.06,197622,Diesel,Individual,Automatic,1,23,0.63
Hyundai,4.92,69936,Petrol,Dealer,Automatic,3,10,0.61
Hyundai,15.79,222160,Petrol,Dealer,Manual,1,17,0.51
Honda,13.1,500,CNG,Dealer,Manual,0,2,13.39
Hyundai,6.63,42766,Diesel,Individual,Manual,1,5,4.46
Honda,21.08,12261,Diesel,Dealer,Manual,1,4,15.2
Maruti,5.81,49876,Petrol,Dealer,Manual,1,5,3.26
Ford,28.48,123886,Petrol,Individual,Automatic,0,11,5.48
Renault,11.19,98410,Petrol,Individual,Manual,1,9,1.9
Tata,7.83,217860,Diesel,Dealer,Manual,0,16,0.84
Nissan,14.52,102642,Petrol,Dealer,Manual,0,11,2.97
Mahindra,12.07,90103,Diesel,Dealer,Automatic,1,8,4.76
Maruti,9.04,212810,Diesel,Dealer,Manual,0,16,1.0
Hyundai,15.53,42557,Diesel,Dealer,Manual,1,6,8.16
Maruti,8.01,99618,Diesel,Dealer,Manual,3,10,1.19
Mahindra,7.24,138823,Diesel,Individual,Manual,0,14,0.87
Hyundai,11.25,32280,Petrol,Dealer,Manual,0,4,8.57
Honda,22.99,124605,Diesel,Individual,Manual,0,16,2.71
Nissan,11.16,95702,Diesel,Individual,Automatic,0,8,4.49
Chevrolet,4.76,56187,Diesel,Individual,Manual,1,7,1.82
Hyundai,13.91,4438,Petrol,Dealer,Manual,1,3,11.57
Toyota,23.82,5435,CNG,Individual,Manual,0,2,24.17
Toyota,30.39,317152,CNG,Individual,Automatic,0,20,0.73
Hyundai,6.47,6806,Petrol,Dealer,Manual,1,2,5.95
Hyundai,9.5,2811,Diesel,Individual,Manual,0,2,9.82
Ford,13.6,226681,CNG,Dealer,Manual,0,22,0.47
Maruti,6.92,196873,Diesel,Dealer,Automatic,0,13,1.42
Toyota,17.08,100717,Diesel,Individual,Automatic,0,11,4.66
Ford,26.11,127165,CNG,Individual,Automatic,0,10,5.8
Renault,6.61,5744,Diesel,Individual,Automatic,0,3,5.28
Ford,13.79,61805,Petrol,Individual,Manual,0,6,7.01
Mahindra,14.16,12276,Petrol,Dealer,Manual,0,3,12.07
Skoda,7.21,137269,Petrol,Individual,Manual,0,14,0.7
Honda,11.06,100973,Petrol,Individual,Automatic,0,10,2.12
Tata,17.32,103071,Petrol,Dealer,Manual,0,10,4.12
Audi,44.6,132891,Diesel,Dealer,Automatic,0,16,7.41
Maruti,10.36,187510,Petrol,Dealer,Manual,3,13,0.41
Ford,16.8,159497,Petrol,Dealer,Automatic,0,12,2.83
Ford,10.49,68712,Diesel,Individual,Manual,3,9,1.63
Chevrolet,11.57,500,CNG,Dealer,Automatic,1,2,12.51
Mahindra,9.26,14396,Diesel,Individual,Automatic,3,4,5.7
Toyota,11.15,108797,Petrol,Individual,Manual,1,10,1.48
Maruti,6.33,52931,Petrol,Dealer,Automatic,1,6,3.11
Honda,24.81,64446,Petrol,Individual,Automatic,0,7,10.11
Toyota,17.97,33881,Petrol,Dealer,Manual,0,5,10.15
Volkswagen,6.15,77445,Petrol,Individual,Manual,0,7,2.51
Hyundai,9.23,50549,Diesel,Dealer,Manual,0,5,5.79
Maruti,5.22,500,Diesel,Individual,Manual,0,3,4.67
Honda,19.51,151593,Diesel,Individual,Manual,1,14,1.82
Renault,6.91,21735,Petrol,Dealer,Automatic,0,3,6.56
Hyundai,13.16,137484,Diesel,Dealer,Automatic,0,14,2.83
Honda,18.46,81528,Petrol,Individual,Automatic,1,7,6.39
Maruti,5.65,57391,CNG,Dealer,Automatic,0,8,2.44
Chevrolet,11.0,6977,Diesel,Dealer,Manual,0,3,8.1
Volkswagen,11.29,23795,Petrol,Individual,Manual,0,4,6.27
Maruti,6.98,20123,Diesel,Dealer,Manual,0,4,4.96
Renault,7.02,31354,Diesel,Dealer,Automatic,0,4,5.18
Maruti,6.12,24963,CNG,Individual,Manual,0,4,3.93
Toyota,20.89,97698,Diesel,Individual,Manual,0,11,4.45
Tata,5.23,156386,Petrol,Dealer,Manual,1,14,0.39
Hyundai,11.27,129211,Diesel,Dealer,Manual,0,14,2.39
Honda,18.58,11672,Petrol,Individual,Manual,0,3,15.49
Audi,57.66,91420,Diesel,Dealer,Automatic,1,8,23.68
Chevrolet,9.73,112863,Diesel,Individual,Manual,0,9,2.99
Mahindra,10.67,113778,Diesel,Dealer,Manual,1,9,2.97
Hyundai,7.93,309389,Petrol,Dealer,Manual,0,22,0.21
Nissan,12.84,85538,Petrol,Individual,Manual,0,11,1.97
Maruti,9.64,101310,Diesel,Individual,Manual,0,9,3.01
Mahindra,5.83,178161,Diesel,Dealer,Manual,0,17,0.68
Maruti,9.81,71036,Petrol,Dealer,Automatic,1,6,4.97
Volkswagen,13.12,5585,Diesel,Dealer,Manual,1,3,11.47
Ford,27.65,97177,Petrol,Dealer,Manual,1,10,5.54
Mahindra,9.49,24661,CNG,Individual,Manual,0,5,5.73
Ford,25.28,54915,Diesel,Individual,Manual,0,6,11.55
Maruti,10.97,205498,Petrol,Individual,Manual,1,20,0.37
Nissan,6.74,15050,Diesel,Dealer,Manual,3,3,5.59
Chevrolet,9.85,114488,Petrol,Dealer,Automatic,1,9,2.33
Maruti,3.62,201811,Diesel,Individual,Automatic,0,14,0.55
Volkswagen,10.86,83332,Petrol,Individual,Automatic,1,10,2.16
Chevrolet,7.1,3127,Petrol,Dealer,Automatic,3,2,7.6
Ford,25.74,787,Petrol,Individual,Manual,3,2,24.74
Skoda,10.28,142831,Diesel,Individual,Manual,1,13,1.12
Maruti,3.71,70601,Petrol,Dealer,Manual,1,6,1.63
Renault,5.49,42229,CNG,Individual,Manual,0,7,2.08
Maruti,11.0,5488,Diesel,Dealer,Automatic,1,3,10.21
Mahindra,8.68,187339,Diesel,Individual,Manual,3,14,0.29
Honda,22.05,19331,CNG,Dealer,Manual,0,4,13.96
Hyundai,10.14,127336,Petrol,Individual,Manual,0,18,0.41
Volkswagen,6.95,119363,Petrol,Dealer,Manual,0,14,0.87
Hyundai,5.16,132119,Petrol,Dealer,Manual,1,16,0.33
Maruti,4.98,313869,Diesel,Dealer,Automatic,0,23,0.18
Maruti,9.17,76083,Diesel,Individual,Manual,0,7,3.92
Toyota,22.01,33359,Diesel,Individual,Manual,1,6,11.86
Toyota,33.57,174847,Petrol,Individual,Manual,0,14,2.36
Hyundai,15.97,245355,Petrol,Individual,Manual,0,16,0.82
Toyota,16.55,227660,Diesel,Dealer,Manual,0,16,1.85
Tata,12.88,153294,Petrol,Individual,Automatic,1,13,0.96
Hyundai,8.92,73121,Petrol,Dealer,Automatic,0,9,2.78
Renault,9.95,314990,Diesel,Individual,Automatic,0,23,0.26
Tata,3.58,224920,Petrol,Dealer,Manual,1,15,0.23
Maruti,10.75,109563,CNG,Individual,Automatic,1,13,0.78
Mahindra,9.78,79163,Petrol,Dealer,Automatic,0,7,4.18
Hyundai,17.01,62642,Petrol,Dealer,Manual,1,7,6.51
Hyundai,8.11,93675,Petrol,Individual,Manual,1,11,0.88
Ford,11.58,39745,Petrol,Individual,Manual,1,5,5.32
Maruti,11.93,157272,Petrol,Individual,Automatic,0,18,0.55
Tata,21.39,208791,Petrol,Dealer,Manual,0,16,1.6
Ford,7.43,108581,CNG,Individual,Manual,1,12,0.73
Hyundai,8.18,141512,Petrol,Dealer,Automatic,3,12,0.5
Maruti,9.3,199527,CNG,Dealer,Automatic,1,17,0.36
Maruti,11.42,50314,Diesel,Individual,Manual,1,6,5.64
Maruti,4.51,108080,CNG,Dealer,Manual,0,9,1.26
Toyota,28.79,13062,Diesel,Individual,Manual,0,3,23.93
Maruti,7.39,36924,Petrol,Individual,Manual,0,5,4.37
Honda,8.17,23831,Petrol,Individual,Manual,1,4,5.58
Maruti,10.5,19324,Petrol,Dealer,Manual,3,4,6.28
Toyota,14.7,500,Petrol,Individual,Manual,0,2,15.35
Hyundai,4.62,34222,Diesel,Individual,Manual,1,4,3.11
Honda,7.12,89701,Petrol,Dealer,Manual,1,13,0.72
Maruti,4.93,123645,Diesel,Individual,Manual,0,10,1.33
Volkswagen,9.72,272246,Petrol,Individual,Manual,0,18,0.27
Toyota,19.78,15930,Petrol,Dealer,Manual,0,3,15.88
Hyundai,10.17,19915,Petrol,Dealer,Manual,0,4,6.54
Hyundai,12.72,123325,Petrol,Dealer,Manual,0,15,1.19
Tata,16.12,33872,Petrol,Individual,Manual,0,5,9.17
Mahindra,7.3,500,Petrol,Individual,Automatic,0,2,7.0
Hyundai,17.25,34322,Diesel,Dealer,Manual,1,5,10.61
Maruti,6.69,12518,Petrol,Dealer,Manual,1,3,5.17
Mahindra,8.29,185327,Petrol,Individual,Manual,0,18,0.31
Tata,10.5,139554,Petrol,Dealer,Manual,1,11,1.43
Hyundai,5.76,121758,Petrol,Individual,Manual,0,10,1.0
Hyundai,9.76,189403,Petrol,Individual,Automatic,1,14,0.55
Tata,3.66,144448,CNG,Dealer,Manual,0,18,0.2
Mahindra,9.92,17025,Petrol,Individual,Manual,0,3,8.37
Maruti,5.87,79955,Petrol,Dealer,Manual,0,10,1.11
Maruti,5.65,27211,Diesel,Dealer,Manual,3,4,3.78
Tata,17.55,3418,Petrol,Dealer,Manual,0,2,17.47
Hyundai,7.06,21115,Petrol,Dealer,Manual,1,5,4.28
Honda,7.53,106064,Petrol,Individual,Automatic,1,10,1.35
Tata,15.61,132526,CNG,Dealer,Automatic,0,12,2.88
Maruti,10.3,205796,Diesel,Dealer,Automatic,3,16,0.38
Mahindra,10.03,500,Petrol,Dealer,Manual,1,2,10.07
Tata,18.91,2546,Petrol,Dealer,Automatic,3,3,14.55
Renault,10.02,31758,Petrol,Dealer,Manual,0,5,6.01
Chevrolet,13.79,33075,Diesel,Individual,Manual,1,4,8.48
Toyota,10.72,293675,CNG,Dealer,Manual,1,18,0.28
Hyundai,13.42,82926,Diesel,Dealer,Manual,1,10,3.61
Tata,11.09,30947,CNG,Dealer,Automatic,1,4,6.45
Mahindra,7.13,175359,CNG,Dealer,Manual,0,15,0.6
Toyota,14.22,246918,CNG,Dealer,Manual,0,20,0.48
Skoda,22.33,64959,Petrol,Individual,Manual,0,7,9.09
Hyundai,5.69,119070,Diesel,Individual,Manual,0,13,0.93
Volkswagen,6.71,127594,CNG,Individual,Manual,3,17,0.32
Honda,21.27,224415,CNG,Individual,Automatic,0,19,0.82
Honda,8.25,100885,Diesel,Dealer,Manual,1,12,1.41
Maruti,10.33,103814,Petrol,Dealer,Manual,3,11,0.75
Maruti,7.95,48790,Petrol,Dealer,Manual,0,7,3.24
Maruti,11.9,128945,Petrol,Dealer,Manual,1,12,1.32
Ford,4.83,7353,Petrol,Individual,Manual,1,3,3.44
Tata,3.92,118330,Diesel,Individual,Manual,0,9,1.2
Volkswagen,5.22,54957,Petrol,Individual,Manual,0,9,1.4
Mahindra,17.98,60153,Petrol,Dealer,Manual,0,7,7.55
Maruti,6.88,157067,Petrol,Dealer,Manual,1,19,0.27
Maruti,11.95,81423,Petrol,Dealer,Manual,3,8,2.39
Hyundai,5.08,106180,Petrol,Dealer,Manual,0,12,0.9
Maruti,4.94,56361,Petrol,Dealer,Automatic,0,6,2.68
Nissan,10.05,500,CNG,Dealer,Manual,0,2,10.46
Ford,28.02,127989,Petrol,Dealer,Manual,1,9,5.73
Mahindra,15.72,117424,Diesel,Individual,Manual,0,9,4.39
Hyundai,4.83,12813,Diesel,Dealer,Manual,0,3,4.25
Maruti,4.63,140413,Petrol,Individual,Automatic,3,10,0.34
Tata,14.19,24647,CNG,Dealer,Manual,1,5,7.38
Maruti,7.52,133668,Petrol,Individual,Manual,1,13,0.47
Maruti,5.72,103704,Petrol,Individual,Manual,0,16,0.37
Tata,4.99,146994,Petrol,Individual,Manual,0,12,0.6
Hyundai,4.32,217114,Diesel,Individual,Automatic,0,15,0.45
BMW,31.58,127869,Diesel,Dealer,Automatic,0,11,8.74
Mahindra,9.82,175728,Petrol,Individual,Manual,1,14,0.55
Ford,25.31,12427,Petrol,Individual,Manual,0,3,20.74
Maruti,3.71,18463,Petrol,Dealer,Manual,3,3,2.85
Ford,13.86,36001,Petrol,Dealer,Manual,1,5,7.5
BMW,55.05,102416,Diesel,Dealer,Automatic,0,11,16.26
Maruti,8.6,255797,Petrol,Dealer,Automatic,1,18,0.25
Maruti,6.32,46349,Petrol,Individual,Manual,0,6,3.07
Maruti,9.3,249513,Petrol,Individual,Automatic,0,18,0.35
Volkswagen,7.53,13528,Petrol,Individual,Manual,1,3,5.86
Toyota,22.55,137846,Petrol,Dealer,Automatic,3,10,2.42
